MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
공항대로59다길,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33
공항대로61길,71,71,71,71,71,71,71,71,71,71,71,71,0,71,71,71
공항대로63길,62,62,62,62,62,62,62,62,62,62,62,62,1,62,62,62
공항대로65가길,23,23,23,23,23,23,23,23,23,23,23,23,0,23,23,23
공항대로65길,42,42,42,42,42,42,42,42,42,42,42,42,0,42,42,42
공항대로67길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
공항대로71길,145,145,145,145,145,145,145,145,145,145,145,145,0,145,145,145
공항대로75길,126,126,126,126,126,126,126,126,126,126,126,126,1,126,126,126
공항대로7길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
관악로,595,595,595,595,595,595,595,595,595,595,595,595,13,595,595,595
관악로12길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
